"Cena";"Waluta";"Cena.w.PLN";"KM";"kW";"Marka";"Model";"Wersja";"Liczba.drzwi";"Pojemnosc.skokowa";"Przebieg.w.km";"Rodzaj.paliwa";"Rok.produkcji";"Kolor";"Kraj.aktualnej.rejestracji";"Kraj.pochodzenia";"Skrzynia.biegow"
89000;"CZK";15227,9;125;92;"Ford";"Mondeo";"";"4/5";1798;185096;"benzyna";2001;"szary-metallic";"";"Czechy";"manualna"
9800;"PLN";9800;65;48;"Renault";"Kangoo";"I";"4/5";1870;20200;"olej napedowy (diesel)";2002;"bialy";"Polska";"Niemcy";"manualna"
18500;"PLN";18500;NA;NA;"Ford";"Galaxy";"Mk2";"4/5";2300;229000;"benzyna+LPG";2002;"";"";"";"automatyczna"
1199;"PLN";1199;60;44;"Renault";"Clio";"II";"4/5";1149;76000;"benzyna";2002;"niebieski-metallic";"Polska";"Polska";"manualna"
10300;"PLN";10300;75;55;"Opel";"Corsa";"C";"4/5";1700;125000;"olej napedowy (diesel)";2001;"srebrny-metallic";"Polska";"Francja";"manualna"
18900;"PLN";18900;120;88;"Renault";"Scenic";"II";"4/5";1870;116876;"olej napedowy (diesel)";2004;"";"";"";"manualna"
20999;"PLN";20999;110;81;"Ford";"C-MAX";"";"4/5";1600;160000;"olej napedowy (diesel)";2004;"czarny";"Belgia";"";"manualna"
11300;"PLN";11300;82;60;"Opel";"Astra";"II";"4/5";1995;175000;"olej napedowy (diesel)";2002;"niebieski-metallic";"Polska";"";"manualna"
49900;"CZK";8537,89;58;43;"Opel";"Corsa";"";"4/5";973;132000;"benzyna";2003;"zielony-metallic";"";"Czechy";"manualna"
12400;"PLN";12400;105;77;"Renault";"Laguna";"II";"4/5";1600;131000;"benzyna";2001;"granatowy-metallic";"";"Niemcy";"manualna"
99000;"CZK";16938,9;99;73;"Renault";"Megane";"";"4/5";1461;150000;"olej napedowy (diesel)";2005;"niebieski";"";"Czechy";"manualna"
2990;"PLN";2990;NA;NA;"Opel";"Vivaro";"";"4/5";NA;NA;"olej napedowy (diesel)";2011;"srebrny-metallic";"";"";"manualna"
12300;"PLN";12300;90;66;"Ford";"Focus";"Mk1";"4/5";1800;123000;"olej napedowy (diesel)";2001;"srebrny-metallic";"Niemcy";"Niemcy";"manualna"
19000;"PLN";19000;115;85;"Renault";"Megane";"II";"4/5";1598;100500;"benzyna";2005;"czarny-metallic";"Polska";"Polska";"manualna"
42900;"PLN";42900;130;96;"Renault";"Megane";"III";"4/5";1397;35000;"benzyna";2009;"srebrny-metallic";"Polska";"Niemcy";"manualna"
15500;"PLN";15500;65;48;"Renault";"Modus";"";"4/5";1461;NA;"olej napedowy (diesel)";2005;"zloty-metallic";"";"Francja";"manualna"
11900;"PLN";11900;NA;NA;"Ford";"Focus";"Mk1";"4/5";1600;NA;"benzyna";2001;"granatowy-metallic";"";"Polska";""
49000;"CZK";8383,9;95;70;"Renault";"Megane";"";"4/5";1390;171709;"benzyna";1999;"zielony-metallic";"";"Niemcy";"manualna"
5600;"PLN";5600;54;40;"Renault";"Clio";"I";"2/3";1149;176000;"benzyna";1996;"niebieski-metallic";"Polska";"";"manualna"
54900;"PLN";54900;115;85;"Opel";"Vivaro";"";"4/5";1995;128100;"olej napedowy (diesel)";2008;"";"Polska";"";"manualna"
16900;"PLN";16900;75;55;"Renault";"Twingo";"";"2/3";1149;18000;"benzyna";2010;"";"";"";"manualna"
549000;"CZK";93933,9;160;118;"Opel";"Astra";"";"4/5";1956;6000;"olej napedowy (diesel)";2011;"bialy";"";"Czechy";"manualna"
44500;"PLN";44500;125;92;"Ford";"Mondeo";"Mk4";"4/5";1800;145000;"olej napedowy (diesel)";2008;"czarny-metallic";"Polska";"";"manualna"
1299;"PLN";1299;48;35;"Renault";"Clio";"I";"2/3";1400;168000;"benzyna";1992;"granatowy-metallic";"Polska";"";"manualna"
21900;"PLN";21900;115;85;"Ford";"Galaxy";"Mk2";"4/5";1896;244000;"olej napedowy (diesel)";2002;"szary-metallic";"Polska";"Niemcy";"manualna"
