rok,miesiac,liczba,imie,plec
1,2014,8,7,Julia,0
2,2014,7,17,Julia,0
3,2014,6,11,Julia,0
4,2014,5,10,Julia,0
5,2014,4,10,Julia,0
6,2014,3,9,Julia,0
7,2014,2,13,Julia,0
8,2014,1,11,Julia,0
9,2013,12,7,Julia,0
10,2013,11,12,Julia,0
11,2013,10,32,Julia,0
12,2013,9,9,Julia,0
13,2013,8,13,Julia,0
14,2013,7,8,Julia,0
15,2013,6,18,Julia,0
16,2013,5,11,Julia,0
17,2013,4,15,Julia,0
18,2013,3,16,Julia,0
19,2013,2,7,Julia,0
20,2013,1,24,Julia,0
21,2012,12,13,Julia,0
22,2012,11,23,Julia,0
23,2012,10,21,Julia,0
24,2012,9,18,Julia,0
25,2012,8,29,Julia,0
26,2012,7,21,Julia,0
27,2012,6,17,Julia,0
28,2012,5,22,Julia,0
29,2012,4,15,Julia,0
30,2012,3,14,Julia,0
31,2012,2,25,Julia,0
32,2012,1,20,Julia,0
33,2011,12,28,Julia,0
34,2011,11,14,Julia,0
35,2011,10,20,Julia,0
36,2011,9,12,Julia,0
37,2011,8,23,Julia,0
38,2011,7,16,Julia,0
39,2011,6,30,Julia,0
40,2011,5,23,Julia,0
41,2011,4,18,Julia,0
42,2011,3,24,Julia,0
43,2011,2,24,Julia,0
44,2011,1,31,Julia,0
45,2010,12,19,Julia,0
46,2010,11,37,Julia,0
47,2010,10,26,Julia,0
48,2010,9,18,Julia,0
49,2010,8,15,Julia,0
50,2010,7,17,Julia,0
51,2010,6,17,Julia,0
52,2010,5,16,Julia,0
53,2010,4,21,Julia,0
54,2010,3,18,Julia,0
55,2010,2,22,Julia,0
56,2010,1,14,Julia,0
57,2009,12,25,Julia,0
58,2009,11,26,Julia,0
59,2009,10,25,Julia,0
60,2009,9,39,Julia,0
61,2009,8,20,Julia,0
62,2009,7,37,Julia,0
63,2009,6,20,Julia,0
64,2009,5,26,Julia,0
65,2009,4,24,Julia,0
66,2009,3,24,Julia,0
67,2009,2,8,Julia,0
68,2009,1,13,Julia,0
69,2008,12,25,Julia,0
70,2008,11,23,Julia,0
71,2008,10,22,Julia,0
72,2008,9,36,Julia,0
73,2008,8,25,Julia,0
74,2008,7,31,Julia,0
75,2008,6,37,Julia,0
76,2008,5,10,Julia,0
77,2008,4,36,Julia,0
78,2008,3,31,Julia,0
79,2008,2,33,Julia,0
80,2008,1,33,Julia,0
81,2007,12,48,Julia,0
82,2007,11,30,Julia,0
83,2007,10,36,Julia,0
84,2007,9,29,Julia,0
85,2007,8,34,Julia,0
86,2007,7,28,Julia,0
87,2007,6,33,Julia,0
88,2007,5,34,Julia,0
89,2007,4,38,Julia,0
90,2007,3,42,Julia,0
91,2007,2,45,Julia,0
92,2007,1,35,Julia,0
93,2006,12,26,Julia,0
94,2006,11,28,Julia,0
95,2006,10,34,Julia,0
96,2006,9,29,Julia,0
97,2006,8,29,Julia,0
98,2006,7,38,Julia,0
99,2006,6,29,Julia,0
100,2006,5,43,Julia,0
101,2006,4,44,Julia,0
102,2006,3,30,Julia,0
103,2006,2,30,Julia,0
104,2006,1,38,Julia,0
105,2005,12,32,Julia,0
106,2005,11,32,Julia,0
107,2005,10,29,Julia,0
108,2005,9,35,Julia,0
109,2005,8,17,Julia,0
110,2005,7,40,Julia,0
111,2005,6,34,Julia,0
112,2005,5,41,Julia,0
113,2005,4,35,Julia,0
114,2005,3,35,Julia,0
115,2005,2,39,Julia,0
116,2005,1,47,Julia,0
117,2004,12,22,Julia,0
118,2004,11,29,Julia,0
119,2004,10,21,Julia,0
120,2004,9,43,Julia,0
121,2004,8,19,Julia,0
122,2004,7,11,Julia,0
123,2014,8,12,Maja,0
124,2014,7,16,Maja,0
125,2014,6,10,Maja,0
126,2014,5,13,Maja,0
127,2014,4,19,Maja,0
128,2014,3,19,Maja,0
129,2014,2,11,Maja,0
130,2014,1,12,Maja,0
131,2013,12,7,Maja,0
132,2013,11,8,Maja,0
133,2013,10,10,Maja,0
134,2013,9,26,Maja,0
135,2013,8,13,Maja,0
136,2013,7,9,Maja,0
137,2013,6,11,Maja,0
138,2013,5,19,Maja,0
139,2013,4,13,Maja,0
140,2013,3,14,Maja,0
141,2013,2,10,Maja,0
142,2013,1,19,Maja,0
143,2012,12,6,Maja,0
144,2012,11,16,Maja,0
145,2012,10,22,Maja,0
146,2012,9,16,Maja,0
147,2012,8,26,Maja,0
