"Name","Codename","Cores","Socket","Process","Clock","Multi","Voltage","Cache.L1.L2.L3","TDP","Released","Manufacturer","Classification"
"Core i7-5820K","Haswell-E","6-Core","Intel Socket 2011-3","22 nm","3300 MHz","33.0x","unknown","64K / 256K / 15360K","140W","Sep 2014","INTEL","Desktop"
"Core i7-5930K","Haswell-E","6-Core","Intel Socket 2011-3","22 nm","3500 MHz","35.0x","unknown","64K / 256K / 15360K","140W","Sep 2014","INTEL","Desktop"
"Core i7-5960X","Haswell-E","8-Core","Intel Socket 2011-3","22 nm","3000 MHz","30.0x","unknown","64K / 256K / 20480K","140W","Sep 2014","INTEL","Desktop"
"Core i3-4370","Haswell","2-Core","Intel Socket 1150","22 nm","3800 MHz","38.0x","unknown","64K / 256K / 4096K","54W","Jul 2014","INTEL","Desktop"
"Core i3-4160","Haswell","2-Core","Intel Socket 1150","22 nm","3600 MHz","36.0x","unknown","64K / 256K / 3072K","54W","Jul 2014","INTEL","Desktop"
"Core i3-4360T","Haswell","2-Core","Intel Socket 1150","22 nm","3200 MHz","32.0x","unknown","64K / 256K / 4096K","35W","Jul 2014","INTEL","Desktop"
"Core i3-4160T","Haswell","2-Core","Intel Socket 1150","22 nm","3100 MHz","31.0x","unknown","64K / 256K / 3072K","35W","Jul 2014","INTEL","Desktop"
"Pentium G3460","Haswell","2-Core","Intel Socket 1150","22 nm","3500 MHz","35.0x","unknown","64K / 256K / 3072K","54W","Jul 2014","INTEL","Desktop"
"Pentium G3250","Haswell","2-Core","Intel Socket 1150","22 nm","3200 MHz","32.0x","unknown","64K / 256K / 3072K","54W","Jul 2014","INTEL","Desktop"
"Pentium G3250T","Haswell","2-Core","Intel Socket 1150","22 nm","2800 MHz","28.0x","unknown","64K / 256K / 3072K","35W","Jul 2014","INTEL","Desktop"
"Pentium G3450T","Haswell","2-Core","Intel Socket 1150","22 nm","2900 MHz","29.0x","unknown","64K / 256K / 3072K","35W","Jul 2014","INTEL","Desktop"
"Core i3-4370","Haswell","2-Core","Intel Socket 1150","22 nm","3800 MHz","38.0x","unknown","64K / 256K / 4096K","54W","Jul 2014","INTEL","Desktop"
"Pentium G3258","Haswell","2-Core","Intel Socket 1150","22 nm","3200 MHz","32.0x","unknown","64K / 256K / 3072K","54W","Jun 2014","INTEL","Desktop"
"Core i5-4690K","Devils Canyon","4-Core","Intel Socket 1150","22 nm","3500 MHz","35.0x","unknown","64K / 256K / 6144K","88W","Jun 2014","INTEL","Desktop"
"Celeron G1840T","Haswell","2-Core","Intel Socket 1150","22 nm","2500 MHz","25.0x","unknown","64K / 256K / 3072K","54W","May 2014","INTEL","Desktop"
"Core i7-4790","Haswell","4-Core","Intel Socket 1150","22 nm","3500 MHz","35.0x","unknown","64K / 256K / 8192K","84W","May 2014","INTEL","Desktop"
"Core i5-4690","Haswell","4-Core","Intel Socket 1150","22 nm","3400 MHz","34.0x","unknown","64K / 256K / 6144K","84W","May 2014","INTEL","Desktop"
"Core i3-4360","Haswell","2-Core","Intel Socket 1150","22 nm","3700 MHz","37.0x","unknown","64K / 256K / 4096K","54W","May 2014","INTEL","Desktop"
"Core i5-4590","Haswell","4-Core","Intel Socket 1150","22 nm","3200 MHz","32.0x","unknown","64K / 256K / 6144K","84W","May 2014","INTEL","Desktop"
"Pentium G3450","Haswell","2-Core","Intel Socket 1150","22 nm","3300 MHz","33.0x","unknown","64K / 256K / 3072K","54W","May 2014","INTEL","Desktop"
