"Product_Name","GPU_Chip","Released","Bus","Memory","GPU_clock","Memory_clock","Shaders.TMUs.ROPs","Manufacturer","Classification"
"Radeon R9 285","Tonga","Sep 2014","PCIe 3.0 x16","2048 MB, GDDR5, 256 bit","918 MHz","1375 MHz","1792 / 112 / 32","AMD","Desktop"
"Radeon R7 250XE","Cape Verde","Aug 2014","PCIe 3.0 x16","1024 MB, GDDR5, 128 bit","860 MHz","1125 MHz","640 / 40 / 16","AMD","Desktop"
"Radeon R7 265X OEM","Curacao","Aug 2014","PCIe 3.0 x16","2048 MB, GDDR5, 256 bit","900 MHz","1400 MHz","1280 / 80 / 32","AMD","Desktop"
"Radeon R9 290X2","Hawaii","Jun 2014","PCIe 3.0 x16","4096 MB x2, GDDR5, 512 bit x2","1000 MHz","1350 MHz","2816 x2 / 176 x2 / 64 x2","AMD","Desktop"
"Radeon R9 295X2","Vesuvius","Apr 2014","PCIe 3.0 x16","4096 MB x2, GDDR5, 512 bit x2","1018 MHz","1250 MHz","2816 x2 / 176 x2 / 64 x2","AMD","Desktop"
"Radeon R5 230","Caicos","Apr 2014","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","625 MHz","667 MHz","160 / 8 / 4","AMD","Desktop"
"Radeon R9 280","Tahiti","Mar 2014","PCIe 3.0 x16","3072 MB, GDDR5, 384 bit","827 MHz","1250 MHz","1792 / 112 / 32","AMD","Desktop"
"Radeon R7 250X","Cape Verde","Feb 2014","PCIe 3.0 x16","1024 MB, GDDR5, 128 bit","950 MHz","1125 MHz","640 / 40 / 16","AMD","Desktop"
"Radeon R7 265","Pitcairn","Feb 2014","PCIe 3.0 x16","2048 MB, GDDR5, 256 bit","900 MHz","1400 MHz","1024 / 64 / 32","AMD","Desktop"
"Radeon R5 220 OEM","Cedar","Dec 2013","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","650 MHz","533 MHz","80 / 8 / 4","AMD","Desktop"
"Radeon R5 230 OEM","Caicos","Dec 2013","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","625 MHz","667 MHz","160 / 8 / 4","AMD","Desktop"
"Radeon R5 235 OEM","Caicos","Dec 2013","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","775 MHz","900 MHz","160 / 8 / 4","AMD","Desktop"
"Radeon R5 235X OEM","Caicos","Dec 2013","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","875 MHz","900 MHz","160 / 8 / 4","AMD","Desktop"
"Radeon R9 255 OEM","Cape Verde","Dec 2013","PCIe 3.0 x16","2048 MB, GDDR5, 128 bit","900 MHz","1150 MHz","512 / 32 / 16","AMD","Desktop"
"Radeon R9 260 OEM","Bonaire","Dec 2013","PCIe 3.0 x16","1024 MB, GDDR5, 128 bit","1100 MHz","1625 MHz","896 / 56 / 16","AMD","Desktop"
"Radeon R7 250E","Cape Verde","Dec 2013","PCIe 3.0 x16","1024 MB, GDDR5, 128 bit","800 MHz","1125 MHz","512 / 32 / 16","AMD","Desktop"
"Radeon R7 260","Bonaire","Dec 2013","PCIe 3.0 x16","2048 MB, GDDR5, 128 bit","1000 MHz","1500 MHz","768 / 48 / 16","AMD","Desktop"
"Radeon R9 270","Curacao","Nov 2013","PCIe 3.0 x16","2048 MB, GDDR5, 256 bit","900 MHz","1400 MHz","1280 / 80 / 32","AMD","Desktop"
"Radeon R9 290","Hawaii","Nov 2013","PCIe 3.0 x16","4096 MB, GDDR5, 512 bit","947 MHz","1250 MHz","2560 / 160 / 64","AMD","Desktop"
"Radeon R5 240 OEM","Oland","Nov 2013","PCIe 3.0 x8","2048 MB, DDR3, 128 bit","730 MHz","900 MHz","320 / 20 / 8","AMD","Desktop"
"Radeon R7 240 OEM","Oland","Nov 2013","PCIe 3.0 x8","2048 MB, DDR3, 128 bit","730 MHz","900 MHz","320 / 20 / 8","AMD","Desktop"
"Radeon HD 8550 OEM","Turks","Oct 2013","PCIe 2.0 x16","1024 MB, GDDR3, 128 bit","650 MHz","800 MHz","480 / 24 / 8","AMD","Desktop"
"Radeon R9 290X","Hawaii","Oct 2013","PCIe 3.0 x16","4096 MB, GDDR5, 512 bit","1000 MHz","1250 MHz","2816 / 176 / 64","AMD","Desktop"
"Radeon R7 240","Oland","Oct 2013","PCIe 3.0 x8","2048 MB, DDR3, 128 bit","730 MHz","900 MHz","320 / 20 / 8","AMD","Desktop"
"Radeon R7 250","Oland","Oct 2013","PCIe 3.0 x8","1024 MB, GDDR5, 128 bit","1000 MHz","1150 MHz","384 / 24 / 8","AMD","Desktop"
"Radeon R7 260X","Bonaire","Oct 2013","PCIe 3.0 x16","2048 MB, GDDR5, 128 bit","1100 MHz","1625 MHz","896 / 56 / 16","AMD","Desktop"
"Radeon R9 270X","Curacao","Oct 2013","PCIe 3.0 x16","2048 MB, GDDR5, 256 bit","1000 MHz","1400 MHz","1280 / 80 / 32","AMD","Desktop"
