"Procesor","Podstawka","Wydajność","Cena","Opłacalność","Producent","Seria","Liczba_Rdzeni","Rodz_Wydajności"
"Intel Core i5 3450","LGA 1155","6444",345,18.68,"Intel","Core","4","ogólna"
"AMD Athlon II X3 460","AM3","2891",162.9,17.75,"AMD","Athlon","3","ogólna"
"AMD Athlon II X2 340","FM2","1955",114.5,17.07,"AMD","Athlon","2","ogólna"
"AMD A4 3300 OEM","FM1","1525",92,16.58,"AMD","A4","2","ogólna"
"Intel Celeron G1840","LGA 1150","2927",179.21,16.33,"Intel","Celeron","2","ogólna"
"Intel Celeron G1820","LGA 1150","2872",180.37,15.92,"Intel","Celeron","2","ogólna"
"AMD A4 3400","FM1","1598",101,15.82,"AMD","A4","2","ogólna"
"Intel Celeron G1620","LGA 1155","2661",169.9,15.66,"Intel","Celeron","2","ogólna"
"Intel Celeron G1610","LGA 1155","2532",164.69,15.37,"Intel","Celeron","2","ogólna"
"AMD A4 6300","FM2","2206",151.31,14.58,"AMD","A4","2","ogólna"
"AMD A4 3400 OEM","FM1","1598",111,14.4,"AMD","A4","2","ogólna"
"Intel Celeron G1820 OEM","LGA 1150","2872",199.9,14.37,"Intel","Celeron","2","ogólna"
"AMD X6 FX-6300","AM3+","6363",455.02,13.98,"AMD","X6","6","ogólna"
"AMD A4 5300","FM2","2013",144.45,13.94,"AMD","A4","2","ogólna"
"AMD X6 FX-6100","AM3+","5424",389.23,13.94,"AMD","X6","6","ogólna"
"Intel Pentium G3258","LGA 1150","4023",289.65,13.89,"Intel","Pentium","2","ogólna"
"AMD A4 6320","FM2","2333",169,13.8,"AMD","A4","2","ogólna"
"Intel Pentium G3240","LGA 1150","3266",239,13.67,"Intel","Pentium","2","ogólna"
"Intel Celeron G1620 OEM","LGA 1155","2661",198.5,13.41,"Intel","Celeron","2","ogólna"
"Intel Celeron G1850","LGA 1150","3076",230,13.37,"Intel","Celeron","2","ogólna"
"Intel Pentium G3220","LGA 1150","3192",239,13.36,"Intel","Pentium","2","ogólna"
"Intel Celeron G1840 OEM","LGA 1150","2927",221.2,13.23,"Intel","Celeron","2","ogólna"
"AMD Athlon II X2 280","AM3","2303",174.39,13.21,"AMD","Athlon","2","ogólna"
"AMD Athlon II X2 270 OEM","AM3","1999",153.03,13.06,"AMD","Athlon","2","ogólna"
"AMD X4 FX-4130","AM3+","4168",328,12.71,"AMD","X4","4","ogólna"
"Intel Pentium G2030","LGA 1155","2915",229.68,12.69,"Intel","Pentium","2","ogólna"
"AMD Athlon II X4 740","FM2","3952",311.73,12.68,"AMD","Athlon","4","ogólna"
"AMD Athlon II X2 240e OEM","AM3","1670",133,12.56,"AMD","Athlon","2","ogólna"
"AMD X6 FX-6350","AM3+","6988",558.96,12.5,"AMD","X6","6","ogólna"
"AMD A8 7600","FM2","5163",419,12.32,"AMD","A8","4","ogólna"
"Intel Celeron G1630","LGA 1155","2689",219.76,12.24,"Intel","Celeron","2","ogólna"
"AMD X8 FX-8320","AM3+","8069",659.65,12.23,"AMD","X8","8","ogólna"
"AMD X6 FX-6350 OEM","AM3+","6988",574.3,12.17,"AMD","X6","6","ogólna"
"AMD Athlon 5350","AM1","2604",216.97,12,"AMD","Athlon","4","ogólna"
"Intel Celeron G1830","LGA 1150","2837",238,11.92,"Intel","Celeron","2","ogólna"
"AMD A8 5500","FM2","4036",339.72,11.88,"AMD","A8","4","ogólna"
"AMD X8 FX-8350","AM3+","8992",757,11.88,"AMD","X8","8","ogólna"
"AMD Sempron 3850","AM1","1683",142,11.85,"AMD","Sempron","4","ogólna"
