"Nazwa","GPU","Wydajność","Cena","Opłacalność","Chłodzenie","Dystrybutor","Producent","Marka","Pamięć512","Pamięć1","Pamięć1.5","Pamięć2"
"Palit NE5X780H10FBJ","GeForce GTX780","8046.00","1597.01","5.04","aktywne","Palit","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus 90YV04H4-M0NA00","GeForce GTX780","8046.00","1861.28","4.32","aktywne","Asus","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Gigabyte GV-N78TD5-3GD-B","GeForce GTX780","8046.00","2699.00","2.98","aktywne","Gigabyte","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus GTX780TI-3GD5","GeForce GTX780","8046.00","2849.00","2.82","aktywne","Asus","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"MSI GTX 780Ti 3GD5","GeForce GTX780","8046.00","2849.00","2.82","aktywne","MSI","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus GTXTITANBLACK-6GD5","GeForce GTXTitan","7957.00","4729.00","1.68","aktywne","Asus","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Inno3D CTBP-1SDN-N5HSX","GeForce GTXTitan","7957.00","4936.71","1.61","brak inf.","Inno3D","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Vertex 3D VXR9 290X 4GBD5-DHX","Radeon R9 290X","6872.00","1528.00","4.50","aktywne","Vertex","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Club 3D CGAX-R929X8","Radeon R9 290X","6872.00","1549.02","4.44","aktywne","Club","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"MSI R9 290X 4GD5","Radeon R9 290X","6872.00","1559.70","4.41","aktywne","MSI","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 21226-00-40G","Radeon R9 290X","6872.00","1587.00","4.33","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11226-03-40G","Radeon R9 290X","6872.00","1632.70","4.21","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Gigabyte GV-R929XOC-4GD-GA","Radeon R9 290X","6872.00","1646.93","4.17","aktywne","Gigabyte","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"PowerColor AXR9 290X 4GBD5-PPDHE","Radeon R9 290X","6872.00","1664.38","4.13","aktywne","PowerColor","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"MSI R9 290X GAMING 4G","Radeon R9 290X","6872.00","1685.25","4.08","aktywne","MSI","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Gigabyte GV-R929XWF3-4GD","Radeon R9 290X","6872.00","1694.34","4.06","aktywne","Gigabyte","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus R9290X-DC2OC-4GD5","Radeon R9 290X","6872.00","1713.50","4.01","aktywne","Asus","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11226-00-40G","Radeon R9 290X","6872.00","1734.00","3.96","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus R9290X-DC2-4GD5","Radeon R9 290X","6872.00","1740.50","3.95","aktywne","Asus","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Club 3D CGAX-R929X8O","Radeon R9 290X","6872.00","1767.00","3.89","aktywne","Club","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus R9290X-4GD5","Radeon R9 290X","6872.00","1798.90","3.82","aktywne","Asus","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"XFX R9-290X-EDFD","Radeon R9 290X","6872.00","1838.66","3.74","aktywne","XFX","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11226-10-40G","Radeon R9 290X","6872.00","1846.28","3.72","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"XFX R9-290X-EDBD","Radeon R9 290X","6872.00","1888.02","3.64","aktywne","XFX","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"XFX R9-290X-8DFD","Radeon R9 290X","6872.00","1942.00","3.54","aktywne","XFX","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"MSI R9 290X LIGHTNING","Radeon R9 290X","6872.00","1979.00","3.47","aktywne","MSI","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus MATRIX-R9290X-P-4GD5","Radeon R9 290X","6872.00","2052.79","3.35","aktywne","Asus","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11226-11-40G","Radeon R9 290X","6872.00","2099.01","3.27","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Vertex 3D VXR9 290 4GBD5-DHX","Radeon R9 290","6540.00","1206.80","5.42","aktywne","Vertex","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Club 3D CGAX-R9298O","Radeon R9 290","6540.00","1310.00","4.99","aktywne","Club","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus R9290-DC2-4GD5","Radeon R9 290","6540.00","1337.47","4.89","aktywne","Asus","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Gigabyte GV-R929WF3-4GD","Radeon R9 290","6540.00","1345.00","4.86","aktywne","Gigabyte","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Club 3D CGAX-R9298","Radeon R9 290","6540.00","1381.22","4.73","aktywne","Club","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11227-00-40G","Radeon R9 290","6540.00","1387.00","4.72","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus R9290-DC2OC-4GD5","Radeon R9 290","6540.00","1399.00","4.67","aktywne","Asus","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"MSI R9 290 GAMING 4G","Radeon R9 290","6540.00","1407.74","4.65","aktywne","MSI","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Gigabyte GV-R929OC-4GD","Radeon R9 290","6540.00","1413.12","4.63","aktywne","Gigabyte","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"XFX R9-290A-EDBD","Radeon R9 290","6540.00","1428.78","4.58","aktywne","XFX","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11227-04-40G","Radeon R9 290","6540.00","1490.89","4.39","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"XFX R9-290A-EDFD","Radeon R9 290","6540.00","1574.20","4.15","aktywne","XFX","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"MSI N770-2GD5/OC","GeForce GTX770","6149.00","1169.00","5.26","aktywne","MSI","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Palit NE5X770010G2J","GeForce GTX770","6149.00","1269.00","4.85","aktywne","Palit","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"ZOTAC ZT-70309-10P","GeForce GTX770","6149.00","1321.50","4.65","aktywne","ZOTAC","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus GTX770-DC2OC-2GD5","GeForce GTX770","6149.00","1380.00","4.46","aktywne","Asus","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Inno3D C77P-3SDN-E5DSX","GeForce GTX770","6149.00","1452.80","4.23","brak inf.","Inno3D","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Gigabyte GV-N770WF3-2GD","GeForce GTX770","6149.00","1494.50","4.11","aktywne","Gigabyte","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Palit NE5X770H1042-1045J","GeForce GTX770","6149.00","1738.10","3.54","aktywne","Palit","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus GTX670-DC2OG-2GD5","GeForce GTX670","5382.00","1217.80","4.42","aktywne","Asus","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11230-00-40G","Radeon R9 280X","5177.00","900.00","5.75","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Vertex 3D VXR9 280X 3GBD5-2DHE","Radeon R9 280X","5177.00","1030.80","5.02","aktywne","Vertex","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus R9280X-DC2-3GD5","Radeon R9 280X","5177.00","1039.00","4.98","aktywne","Asus","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Club 3D CGAX-R928X7O","Radeon R9 280X","5177.00","1093.85","4.73","aktywne","Club","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"MSI R9 280X GAMING 3G","Radeon R9 280X","5177.00","1099.23","4.71","aktywne","MSI","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"XFX R9-280X-TDFD","Radeon R9 280X","5177.00","1111.51","4.66","aktywne","XFX","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"PowerColor AXR9 280X 3GBD5-T2DHE/OC","Radeon R9 280X","5177.00","1118.29","4.63","aktywne","PowerColor","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11221-20-40G","Radeon R9 280X","5177.00","1150.52","4.50","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"XFX R9-280X-TDBD","Radeon R9 280X","5177.00","1162.50","4.45","aktywne","XFX","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11221-20-20G","Radeon R9 280X","5177.00","1169.94","4.43","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11221-00-25G","Radeon R9 280X","5177.00","1199.00","4.32","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11221-00-20G","Radeon R9 280X","5177.00","1199.85","4.31","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Gigabyte GV-R928XOC-3GD","Radeon R9 280X","5177.00","1205.00","4.30","aktywne","Gigabyte","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11221-12-40G","Radeon R9 280X","5177.00","1214.03","4.26","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus R9280X-DC2T-3GD5","Radeon R9 280X","5177.00","1215.00","4.26","aktywne","Asus","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11221-22-20G","Radeon R9 280X","5177.00","1215.00","4.26","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11221-00-40G","Radeon R9 280X","5177.00","1314.95","3.94","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"MSI V277-053R","Radeon R9 280X","5177.00","1384.16","3.74","aktywne","MSI","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Gigabyte GV-R929XD5-4GD-B","Radeon R9 280X","5177.00","1819.50","2.85","aktywne","Gigabyte","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Club 3D CGAX-R9287O","Radeon R9 280","5091.00","851.60","5.98","aktywne","Club","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11230-00-20G","Radeon R9 280","5091.00","859.14","5.93","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Gigabyte GV-R928WF3OC-3GD","Radeon R9 280","5091.00","906.84","5.61","aktywne","Gigabyte","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"MSI R9 280 GAMING 3G","Radeon R9 280","5091.00","909.00","5.60","aktywne","MSI","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"XFX R9-280A-TDFD","Radeon R9 280","5091.00","921.00","5.53","aktywne","XFX","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus R9280-DC2T-3GD5","Radeon R9 280","5091.00","953.55","5.34","aktywne","Asus","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus STRIX-R9285-DC2OC-2GD","Radeon R9 280","5091.00","1189.00","4.28","aktywne","Asus","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"XFX R9-280A-TDBD","Radeon R9 280","5091.00","1198.80","4.25","aktywne","XFX","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Vertex 3D VX7970 3GBD5-2DHXE","Radeon HD7970","5085.00","1690.22","3.01","aktywne","Vertex","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"MSI N760 2GD5/OC","GeForce GTX760","4968.00","807.00","6.16","aktywne","MSI","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Gigabyte GV-N760WF2OC-2GD","GeForce GTX760","4968.00","903.50","5.50","aktywne","Gigabyte","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Gainward 426018336-3002","GeForce GTX760","4968.00","926.00","5.37","aktywne","Gainward","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus GTX760-DC2OC-2GD5","GeForce GTX760","4968.00","958.01","5.19","aktywne","Asus","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus GTX760-DCMOC-2GD5","GeForce GTX760","4968.00","959.36","5.18","aktywne","Asus","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Gainward 426018336-2999","GeForce GTX760","4968.00","971.00","5.12","aktywne","Gainward","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Gigabyte GV-N760OC-2GD","GeForce GTX760","4968.00","975.00","5.10","aktywne","Gigabyte","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"MSI N760 TF 2GD5/OC","GeForce GTX760","4968.00","983.00","5.05","aktywne","MSI","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"ZOTAC ZT-70401-10P","GeForce GTX760","4968.00","999.50","4.97","aktywne","ZOTAC","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Palit NE5X760H1042J","GeForce GTX760","4968.00","1007.00","4.93","aktywne","Palit","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"EVGA 02G-P4-2761-KR","GeForce GTX760","4968.00","1014.48","4.90","aktywne","EVGA","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"ZOTAC ZT-70402-10P","GeForce GTX760","4968.00","1044.07","4.76","aktywne","ZOTAC","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus GTX760-DC2-2GD5","GeForce GTX760","4968.00","1071.20","4.64","aktywne","Asus","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus 90YV04Q3-M0NA00","GeForce GTX760","4968.00","1073.88","4.63","aktywne","Asus","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus GTX760-DC2T-2GD5-SSU","GeForce GTX760","4968.00","1093.42","4.54","aktywne","Asus","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus GTX760-DC2-SSU","GeForce GTX760","4968.00","1100.00","4.52","aktywne","Asus","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"ZOTAC ZT-70406-10P","GeForce GTX760","4968.00","1102.00","4.51","aktywne","ZOTAC","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus GTX760-DC2T-SSU","GeForce GTX760","4968.00","1114.19","4.46","pasywne","Asus","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Gainward 426018336-3033","GeForce GTX760","4968.00","1118.98","4.44","aktywne","Gainward","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"EVGA 02G-P4-3765-KR","GeForce GTX760","4968.00","1141.93","4.35","aktywne","EVGA","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Inno3D C760-1SDN-E5DSX","GeForce GTX760","4968.00","1149.60","4.32","aktywne","Inno3D","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Gigabyte GV-N760OC-4GD","GeForce GTX760","4968.00","1159.00","4.29","aktywne","Gigabyte","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"EVGA 04G-P4-3768-KR","GeForce GTX760","4968.00","1492.30","3.33","aktywne","EVGA","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus MARS760-4GD5","GeForce GTX760","4968.00","1710.39","2.90","aktywne","Asus","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Vertex 3D 3GBD5-2DHXE","Radeon HD7950","4675.00","869.10","5.38","aktywne","Vertex","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11196-19-20G","Radeon HD7950","4675.00","899.00","5.20","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"MSI R7950 TF 3GD5/OC BE","Radeon HD7950","4675.00","1099.00","4.25","aktywne","MSI","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Club 3D CGAX-R927X614","Radeon R9 270X","4515.00","749.00","6.03","aktywne","Club","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"XFX R9-270X-CDFC","Radeon R9 270X","4515.00","759.00","5.95","aktywne","XFX","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"XFX R9-270X-CDJC","Radeon R9 270X","4515.00","778.13","5.80","aktywne","XFX","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11217-01-20G","Radeon R9 270X","4515.00","801.40","5.63","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"MSI R9 270X GAMING 2G","Radeon R9 270X","4515.00","803.74","5.62","aktywne","MSI","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11217-01-40G","Radeon R9 270X","4515.00","804.68","5.61","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Club 3D CGAX-R927X6F","Radeon R9 270X","4515.00","809.00","5.58","aktywne","Club","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus R9270X-DC2-2GD5","Radeon R9 270X","4515.00","811.90","5.56","aktywne","Asus","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Gigabyte GV-R927XOC-2GD","Radeon R9 270X","4515.00","817.50","5.52","aktywne","Gigabyte","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"XFX R9-270X-CDBC","Radeon R9 270X","4515.00","828.04","5.45","aktywne","XFX","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Club 3D CGAX-R927X6","Radeon R9 270X","4515.00","845.20","5.34","aktywne","Club","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus 90YV04U2-M0NA00","Radeon R9 270X","4515.00","853.36","5.29","aktywne","Asus","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus R9270X-DC2T-2GD5","Radeon R9 270X","4515.00","865.96","5.21","aktywne","Asus","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"MSI R9 270X Hawk","Radeon R9 270X","4515.00","870.23","5.19","aktywne","MSI","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11217-00-20G","Radeon R9 270X","4515.00","877.12","5.15","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11217-00-40G","Radeon R9 270X","4515.00","883.34","5.11","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11217-04-10G","Radeon R9 270X","4515.00","892.49","5.06","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11220-03-20G","Radeon R9 270X","4515.00","893.30","5.05","aktywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
