"Miejsce","Wykonawca","Piosenka","Rok","Zm."
"1","Czesław Niemen","""Dziwny jest ten świat""","1967","0"
"2","Perfect","""Autobiografia""","1982","0"
"3","Dżem","""List do M.""","1991","+9"
"4","Aya RL","""Skóra""","1984","+35"
"5","Czesław Niemen","""Sen o Warszawie""","1966","+16"
"6","Marek Grechuta","""Dni, których nie znamy""","1971","-1"
"7","Kult","""Arahja""","1988","-4"
"8","Obywatel G.C.","""Nie pytaj o Polskę""","1988","+1"
"9","Republika","""Biała flaga""","1982","-5"
"10","Dżem","""Whisky""","1985","+3"
"1","Czesław Niemen","""Dziwny jest ten świat""","1967","0"
"2","Perfect","""Autobiografia""","1982","0"
"3","Republika","""Biała flaga""","1982","+6"
"4","Dżem","""List do M.""","1991","-1"
"5","Obywatel G.C.","""Nie pytaj o Polskę""","1988","+3"
"6","Kult","""Arahja""","1988","+1"
"7","Marek Grechuta","""Dni, których nie znamy""","1971","-1"
"8","Aya RL","""Skóra""","1984","-4"
"9","Kult","""Polska""","1992","+9"
"10","Kult","""Do Ani""","1986","+3"
"1","Republika","""Biała flaga""","1982","+2"
"2","Kult","""Arahja""","1988","+4"
"3","Czesław Niemen","""Dziwny jest ten świat""","1967","-2"
"4","Obywatel G.C.","""Nie pytaj o Polskę""","1988","+1"
"5","Perfect","""Autobiografia""","1982","-3"
"6","Dżem","""List do M.""","1991","-2"
"7","Sztywny Pal Azji","""Wieża radości, wieża samotności""","1987","+10"
"8","Kult","""Polska""","1992","+1"
"9","TSA","""51""","1982","+4"
"10","Marek Grechuta","""Dni, których nie znamy""","1971","-3"
"1","Republika","""Biała flaga""","1982","0"
"2","Czesław Niemen","""Dziwny jest ten świat""","1967","+1"
"3","Dżem","""List do M.""","1991","+3"
"4","Sztywny Pal Azji","""Wieża radości, wieża samotności""","1987","+3"
"5","Obywatel G.C.","""Nie pytaj o Polskę""","1988","-1"
"6","Marek Grechuta","""Dni, których nie znamy""","1971","+4"
"7","TSA","""51""","1982","+2"
"8","Kult","""Arahja""","1988","-6"
"9","Grzegorz Turnau","""Bracka""","1995","+3"
"10","Perfect","""Autobiografia""","1982","-5"
"1","Czesław Niemen","""Dziwny jest ten świat""","1967","+1"
"2","Republika","""Biała flaga""","1982","-1"
"3","Dżem","""List do M.""","1991","0"
"4","Obywatel G.C.","""Nie pytaj o Polskę""","1988","+1"
"5","Perfect","""Autobiografia""","1982","+5"
"6","Sztywny Pal Azji","""Wieża radości, wieża samotności""","1987","-2"
"7","TSA","""51""","1982","0"
"8","Kult","""Arahja""","1988","0"
"9","Marek Grechuta","""Dni, których nie znamy""","1971","-3"
"10","Turbo","""Dorosłe dzieci""","1982","+5"
"1","Sztywny Pal Azji","""Wieża radości, wieża samotności""","1987","+5"
"2","Obywatel G.C.","""Nie pytaj o Polskę""","1988","+2"
"3","Perfect","""Autobiografia""","1982","+2"
"4","Republika","""Biała flaga""","1982","-2"
"5","TSA","""51""","1982","+2"
"6","Dżem","""List do M.""","1991","-3"
"7","Czesław Niemen","""Dziwny jest ten świat""","1967","-6"
"8","Kult","""Arahja""","1988","0"
"9","Marek Grechuta","""Dni, których nie znamy""","1971","0"
"10","Turbo","""Dorosłe dzieci""","1982","0"
